City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
117,Chernyshevskiy,63.01,112.47,7.0,92,100,11.45,RU,2020-01-06 01:30:01
118,Adilabad,19.68,78.53,61.29,57,0,3.42,IN,2020-01-06 01:30:01
119,Shimoda,34.7,138.93,51.8,62,20,9.17,JP,2020-01-06 01:27:38
120,Soligalich,59.08,42.29,19.4,95,88,5.12,RU,2020-01-06 01:29:02
121,Bathsheba,13.22,-59.52,75.2,94,75,3.36,BB,2020-01-06 01:22:57
122,Kaeo,-35.1,173.78,72.0,80,68,3.0,NZ,2020-01-06 01:27:13
123,Katsuura,33.93,134.5,44.6,67,20,3.36,JP,2020-01-06 01:27:11
124,Bredasdorp,-34.53,20.04,64.4,72,100,4.7,ZA,2020-01-06 01:22:34
125,Pangkalanbuun,-2.68,111.62,89.33,59,99,2.93,ID,2020-01-06 01:30:03
126,Coahuayana,18.62,-100.35,72.73,48,0,3.58,MX,2020-01-06 01:30:03
